"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SPICEPREFIX";"SUPPLIER";
"R16";"1M";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"R17";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"R18";"1M";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"R19";"1M";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"S_A";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"S_B";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"T1";"BC548";"-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";
"T2";"BC548";"-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";
"T_A";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"T_B";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ATTINY84-20PU";"ATTINY84-20PU";"DIP254P762X533-14";"8-bit Microcontroller with In-System Programmable Flash";"";"";"";"";"";"";"ATTINY84-20PU";"-";"58M3794";"PDIP-14";"";"Atmel";
